timestamp,open,high,low,close
1634083200000,1.073,1.07344,1.073,1.07326
1634086800000,1.07325,1.07356,1.07319,1.07341
1634090400000,1.07341,1.07379,1.07313,1.07339
1634094000000,1.07341,1.07375,1.07333,1.07356
1634097600000,1.07357,1.07361,1.07347,1.07354
1634101200000,1.07355,1.07391,1.07333,1.07337
1634104800000,1.07336,1.07356,1.07296,1.07331
1634108400000,1.07329,1.07355,1.07299,1.07339
1634112000000,1.0734,1.07341,1.07266,1.07299
1634115600000,1.073,1.07322,1.072,1.07244
1634119200000,1.07245,1.07276,1.07215,1.07223
1634122800000,1.07222,1.07236,1.072,1.07234
1634126400000,1.07234,1.07298,1.07173,1.07244
1634130000000,1.07243,1.07291,1.07187,1.07213
1634133600000,1.07212,1.07212,1.07144,1.07199
1634137200000,1.07198,1.072,1.07116,1.07119
1634140800000,1.07121,1.07142,1.07101,1.07122
1634144400000,1.07122,1.07143,1.07095,1.0711
1634148000000,1.0711,1.07159,1.07094,1.07095
1634151600000,1.07096,1.07105,1.07087,1.07092
1634155200000,1.07092,1.07146,1.07087,1.07112
1634158800000,1.07108,1.07123,1.07038,1.07118
1634162400000,1.07119,1.0713,1.07103,1.07125
1634166000000,1.07122,1.07166,1.07119,1.07163
1634169600000,1.07163,1.07168,1.07096,1.07102
1634173200000,1.07101,1.07133,1.07087,1.07131
1634176800000,1.07129,1.0713,1.0708,1.07081
1634180400000,1.0708,1.07083,1.07046,1.07049
1634184000000,1.07048,1.0705,1.07015,1.07015
1634187600000,1.07015,1.07018,1.06997,1.07008
1634191200000,1.07008,1.0702,1.06815,1.06941
1634194800000,1.06941,1.0696,1.06844,1.06866
1634198400000,1.06867,1.06915,1.06845,1.06902
1634202000000,1.06901,1.06908,1.06847,1.06849
1634205600000,1.06849,1.06878,1.06805,1.06817
1634209200000,1.06817,1.06869,1.06802,1.06824
1634212800000,1.06824,1.0694,1.06807,1.06891
1634216400000,1.06892,1.06975,1.06857,1.06941
1634220000000,1.0694,1.07044,1.06929,1.07011
1634223600000,1.07011,1.07041,1.06989,1.06999
1634227200000,1.07003,1.07058,1.06987,1.0704
